Brain_cerebral_cortex	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Acerebral%20cortex%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_hippocampal_formation	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Ahippocampal%20formation%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_amygdala	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Aamygdala%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_basal_ganglia	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Abasal+ganglia%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_thalamus	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Athalamus%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_hypothalamus	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Ahypothalamus%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_midbrain	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Amidbrain%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_cerebellum	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Acerebellum%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_pons	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Apons%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_medulla_oblongata	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Amedulla+oblongata%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_spinal_cord	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Aspinal+cord%3BNot%20detected&columns=up&compress=no&format=tsv
Brain_white_matter	https://www.proteinatlas.org/api/search_download.php?search=NOT%20brain_category_rna%3Awhite+matter%3BNot%20detected&columns=up&compress=no&format=tsv
Choroid_plexus	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Achoroid+plexus%3Bnot%20detected&columns=up&compress=no&format=tsv
Salivary_gland	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Asalivary+gland%3Bnot%20detected&columns=up&compress=no&format=tsv
Esophagus	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Aesophagus%3Bnot%20detected&columns=up&compress=no&format=tsv
Tongue	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Atongue%3Bnot%20detected&columns=up&compress=no&format=tsv
Stomach	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Astomach%3Bnot%20detected&columns=up&compress=no&format=tsv
Intestine	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Aintestine%3Bnot%20detected&columns=up&compress=no&format=tsv
Pancreas	https://www.proteinatlas.org/api/search_download.php?search=NOT%20tissue_category_rna%3Apancreas%3Bnot%20detected&columns=up&compress=no&format=tsv
